Trial,Reward,Cumulative Reward,Win Rate,Actual Reward
138,0.0,42.0,0.30434782608695654,2
139,0.0,42.0,0.302158273381295,3
140,0.0,42.0,0.3,4
141,0.0,42.0,0.2978723404255319,1
142,0.0,42.0,0.29577464788732394,2
143,0.0,42.0,0.2937062937062937,3
144,1.0,43.0,0.2986111111111111,4
145,0.0,43.0,0.296551724137931,1
146,1.0,44.0,0.3013698630136986,2
147,1.0,45.0,0.30612244897959184,3
148,1.0,46.0,0.3108108108108108,4
149,0.0,46.0,0.3087248322147651,1
150,0.0,46.0,0.30666666666666664,2
151,0.0,46.0,0.304635761589404,3
152,0.0,46.0,0.3026315789473684,4
153,1.0,47.0,0.30718954248366015,1
154,1.0,48.0,0.3116883116883117,2
155,0.0,48.0,0.3096774193548387,3
156,0.0,48.0,0.3076923076923077,4
157,0.0,48.0,0.3057324840764331,1
158,0.0,48.0,0.3037974683544304,2
159,1.0,49.0,0.3081761006289308,3
160,0.0,49.0,0.30625,4
161,0.0,49.0,0.30434782608695654,1
162,1.0,50.0,0.30864197530864196,2
163,1.0,51.0,0.3128834355828221,3
164,1.0,52.0,0.3170731707317073,4
165,0.0,52.0,0.3151515151515151,1
166,0.0,52.0,0.3132530120481928,2
167,1.0,53.0,0.31736526946107785,3
168,1.0,54.0,0.32142857142857145,4
169,0.0,54.0,0.31952662721893493,1
170,1.0,55.0,0.3235294117647059,2
171,0.0,55.0,0.3216374269005848,3
172,0.0,55.0,0.31976744186046513,4
173,0.0,55.0,0.3179190751445087,1
174,0.0,55.0,0.3160919540229885,2
175,0.0,55.0,0.3142857142857143,3
176,1.0,56.0,0.3181818181818182,4
177,0.0,56.0,0.3163841807909605,1
178,0.0,56.0,0.3146067415730337,2
179,0.0,56.0,0.3128491620111732,3
180,0.0,56.0,0.3111111111111111,4
181,0.0,56.0,0.30939226519337015,1
182,0.0,56.0,0.3076923076923077,2
183,1.0,57.0,0.3114754098360656,3
184,0.0,57.0,0.30978260869565216,4
185,0.0,57.0,0.3081081081081081,1
186,1.0,58.0,0.3118279569892473,2
187,0.0,58.0,0.31016042780748665,3
188,1.0,59.0,0.31382978723404253,4
189,1.0,60.0,0.31746031746031744,1
190,0.0,60.0,0.3157894736842105,2
191,1.0,61.0,0.3193717277486911,3
192,0.0,61.0,0.3177083333333333,4
193,0.0,61.0,0.3160621761658031,1
194,1.0,62.0,0.31958762886597936,2
195,0.0,62.0,0.31794871794871793,3
196,1.0,63.0,0.32142857142857145,4
197,0.0,63.0,0.3197969543147208,1
198,1.0,64.0,0.32323232323232326,2
199,1.0,65.0,0.32663316582914576,3
200,0.0,65.0,0.325,4
201,0.0,65.0,0.32338308457711445,1
202,0.0,65.0,0.3217821782178218,2
203,1.0,66.0,0.3251231527093596,3
204,0.0,66.0,0.3235294117647059,4
205,0.0,66.0,0.32195121951219513,1
206,0.0,66.0,0.32038834951456313,2
207,1.0,67.0,0.32367149758454106,3
208,1.0,68.0,0.3269230769230769,4
209,1.0,69.0,0.33014354066985646,1
210,1.0,70.0,0.3333333333333333,2
211,0.0,70.0,0.33175355450236965,3
212,0.0,70.0,0.330188679245283,4
213,0.0,70.0,0.3286384976525822,1
214,0.0,70.0,0.32710280373831774,2
215,1.0,71.0,0.3302325581395349,3
216,0.0,71.0,0.3287037037037037,4
217,1.0,72.0,0.3317972350230415,1
218,0.0,72.0,0.3302752293577982,2
219,1.0,73.0,0.3333333333333333,3
220,0.0,73.0,0.33181818181818185,4
221,1.0,74.0,0.334841628959276,1
222,1.0,75.0,0.33783783783783783,2
223,1.0,76.0,0.34080717488789236,3
224,0.0,76.0,0.3392857142857143,4
225,0.0,76.0,0.3377777777777778,1
226,1.0,77.0,0.3407079646017699,2
227,0.0,77.0,0.3392070484581498,3
228,0.0,77.0,0.33771929824561403,4
229,0.0,77.0,0.33624454148471616,1
230,1.0,78.0,0.3391304347826087,2
231,0.0,78.0,0.33766233766233766,3
232,1.0,79.0,0.34051724137931033,4
